ID_Movimento;Data;Tipo_Movimento;Categoria;Valor;Observacao
3732;2024-03-17 19:03:57.202280;Saída;Salário;16540.57;Pagamento de imposto
3607;2024-10-13 19:03:57.202280;Saída;Outros;13943.23;Pagamento por venda
2653;2023-10-16 19:03:57.202280;Saída;Outros;30463.2;Reembolso de serviço
4264;2024-05-09 19:03:57.202280;Entrada;Salário;1210.33;Pagamento por venda
1835;2023-01-30 19:03:57.202280;Entrada;Venda;31254.96;Salário
1763;2023-08-13 19:03:57.202280;Entrada;Imposto;22927.56;Reembolso de serviço
2731;2024-09-17 19:03:57.202280;Saída;Serviço;31342.54;Pagamento de imposto
4431;2023-08-09 19:03:57.202280;Entrada;Venda;29366.49;Despesa de operação
2033;2024-09-18 19:03:57.202280;Saída;Venda;23003.01;Pagamento por venda
4795;2023-03-09 19:03:57.202280;Saída;Venda;26644.02;Recebimento de cliente X
1277;2023-08-04 19:03:57.202280;Saída;Imposto;46808.95;Pagamento de imposto
2778;2024-03-27 19:03:57.202280;Entrada;Salário;14325.72;Pagamento de imposto
2828;2023-09-14 19:03:57.202280;Entrada;Venda;22386.86;Pagamento por venda
3647;2023-04-07 19:03:57.202280;Saída;Outros;22422.5;Despesa de operação
4142;2024-10-04 19:03:57.202280;Entrada;Salário;33745.61;Salário
4544;2024-01-10 19:03:57.202280;Saída;Venda;33625.63;Despesa de operação
3648;2023-01-23 19:03:57.202280;Saída;Salário;2124.8;Pagamento por venda
4468;2024-09-10 19:03:57.202280;Entrada;Venda;8504.69;Pagamento de imposto
3362;2023-01-15 19:03:57.202280;Entrada;Outros;20005.83;Salário
1705;2023-11-19 19:03:57.202280;Entrada;Salário;4138.75;Recebimento de cliente X
4558;2023-09-18 19:03:57.202280;Saída;Serviço;10784.02;Outros recebimentos
3599;2023-02-02 19:03:57.202280;Saída;Outros;36861.92;Pagamento de imposto
3135;2023-02-15 19:03:57.202280;Saída;Salário;12865.69;Pagamento por venda
3222;2024-01-03 19:03:57.202280;Entrada;Salário;27071.24;Recebimento de cliente X
4672;2024-06-03 19:03:57.202280;Entrada;Venda;26039.58;Recebimento de cliente X
3897;2023-04-18 19:03:57.202280;Entrada;Serviço;16261.44;Recebimento de cliente X
2701;2023-12-26 19:03:57.202280;Saída;Imposto;48023.61;Despesa de operação
1537;2024-09-21 19:03:57.202280;Entrada;Imposto;4667.28;Despesa de operação
3893;2023-03-19 19:03:57.202280;Entrada;Outros;18708.7;Despesa de operação
3120;2023-12-17 19:03:57.202280;Saída;Salário;28477.9;Pagamento de imposto
3825;2024-03-04 19:03:57.202280;Entrada;Imposto;8263.43;Salário
2940;2022-12-13 19:03:57.202280;Saída;Venda;47669.01;Pagamento por venda
3163;2022-11-28 19:03:57.202280;Saída;Salário;13688.36;Reembolso de serviço
1976;2024-02-09 19:03:57.202280;Entrada;Venda;27002.55;Pagamento por venda
1755;2023-08-01 19:03:57.202280;Saída;Venda;34575.94;Despesa de operação
4781;2023-11-20 19:03:57.202280;Saída;Venda;34250.14;Reembolso de serviço
3046;2024-08-28 19:03:57.202280;Saída;Outros;6895.9;Pagamento por venda
2871;2024-08-11 19:03:57.202280;Saída;Outros;37205.96;Salário
4503;2022-12-11 19:03:57.202280;Entrada;Outros;10163.99;Recebimento de cliente X
3496;2023-08-24 19:03:57.202280;Entrada;Outros;39319.22;Outros recebimentos
3898;2024-03-27 19:03:57.202280;Saída;Serviço;9447.78;Recebimento de cliente X
1099;2023-12-25 19:03:57.202280;Saída;Salário;19986.41;Pagamento de imposto
3008;2024-10-24 19:03:57.202280;Saída;Outros;17350.07;Pagamento por venda
4249;2024-09-01 19:03:57.202280;Saída;Outros;32979.81;Pagamento por venda
1755;2023-05-15 19:03:57.202280;Entrada;Salário;8951.96;Salário
1797;2023-06-03 19:03:57.202280;Entrada;Salário;21810.73;Despesa de operação
1659;2024-11-05 19:03:57.202280;Entrada;Outros;49232.94;Reembolso de serviço
4219;2024-09-23 19:03:57.202280;Saída;Serviço;42405.34;Pagamento de imposto
3958;2024-09-19 19:03:57.202280;Saída;Salário;23922.86;Reembolso de serviço
1423;2023-12-21 19:03:57.202280;Saída;Venda;11939.39;Reembolso de serviço
4360;2023-03-30 19:03:57.202280;Entrada;Outros;38720.32;Recebimento de cliente X
4337;2023-07-11 19:03:57.202280;Entrada;Outros;48452.3;Pagamento de imposto
3745;2023-10-02 19:03:57.202280;Entrada;Salário;19268.1;Reembolso de serviço
1639;2023-02-04 19:03:57.202280;Saída;Serviço;15609.81;Pagamento de imposto
1544;2023-03-09 19:03:57.202280;Entrada;Salário;9040.65;Salário
3591;2024-02-24 19:03:57.202280;Saída;Serviço;36255.44;Salário
1714;2023-02-26 19:03:57.202280;Entrada;Salário;28904.41;Recebimento de cliente X
3292;2024-02-28 19:03:57.202280;Entrada;Salário;41856.2;Pagamento de imposto
1151;2024-09-02 19:03:57.202280;Entrada;Outros;13075.93;Recebimento de cliente X
3723;2023-07-27 19:03:57.202280;Saída;Venda;7055.85;Salário
3558;2024-06-03 19:03:57.202280;Saída;Serviço;6624.8;Salário
4531;2024-05-24 19:03:57.202280;Saída;Salário;8219.69;Reembolso de serviço
3930;2024-03-21 19:03:57.202280;Entrada;Venda;32516.66;Pagamento de imposto
2207;2024-05-17 19:03:57.202280;Saída;Outros;8928.52;Reembolso de serviço
3076;2024-11-09 19:03:57.202280;Entrada;Imposto;48846.23;Reembolso de serviço
1802;2023-01-26 19:03:57.202280;Saída;Outros;32612.28;Recebimento de cliente X
3176;2024-05-25 19:03:57.202280;Entrada;Imposto;2052.38;Salário
3176;2024-09-28 19:03:57.202280;Entrada;Venda;43076.4;Reembolso de serviço
2956;2023-03-08 19:03:57.202280;Entrada;Imposto;25443.24;Recebimento de cliente X
4125;2024-05-14 19:03:57.202280;Saída;Venda;20817.94;Recebimento de cliente X
2925;2024-06-26 19:03:57.202280;Saída;Outros;35711.74;Pagamento por venda
4622;2023-11-29 19:03:57.202280;Entrada;Serviço;23122.43;Recebimento de cliente X
4560;2024-09-10 19:03:57.202280;Saída;Imposto;14162.08;Pagamento por venda
1756;2023-10-01 19:03:57.202280;Entrada;Salário;10607.44;Pagamento de imposto
1273;2023-06-05 19:03:57.202280;Saída;Venda;28013.88;Pagamento de imposto
3383;2023-04-24 19:03:57.202280;Entrada;Salário;33610.29;Recebimento de cliente X
1388;2023-05-07 19:03:57.202280;Entrada;Salário;17806.08;Pagamento de imposto
2641;2024-02-18 19:03:57.202280;Saída;Salário;25156.67;Salário
4114;2023-01-29 19:03:57.202280;Saída;Imposto;30562.44;Reembolso de serviço
2466;2023-12-31 19:03:57.202280;Saída;Imposto;34506.53;Pagamento por venda
3591;2023-01-14 19:03:57.202280;Saída;Serviço;48224.76;Pagamento por venda
1888;2024-04-21 19:03:57.202280;Entrada;Outros;32566.32;Pagamento por venda
1257;2024-02-04 19:03:57.202280;Saída;Outros;5548.12;Despesa de operação
2345;2023-05-16 19:03:57.202280;Entrada;Venda;27716.69;Pagamento de imposto
3105;2023-01-27 19:03:57.202280;Saída;Venda;35246.95;Pagamento de imposto
3339;2024-01-19 19:03:57.202280;Saída;Salário;15671.45;Pagamento por venda
4942;2023-03-14 19:03:57.202280;Saída;Imposto;44317.03;Despesa de operação
4191;2023-10-30 19:03:57.202280;Saída;Salário;34205.04;Despesa de operação
3827;2023-03-07 19:03:57.202280;Saída;Imposto;1227.63;Salário
1430;2023-06-26 19:03:57.202280;Entrada;Outros;17131.62;Salário
4154;2023-09-22 19:03:57.202280;Entrada;Venda;10748.76;Salário
1091;2024-08-08 19:03:57.202280;Entrada;Serviço;33756.59;Pagamento de imposto
2920;2023-12-19 19:03:57.202280;Saída;Imposto;35371.01;Pagamento de imposto
3446;2022-11-15 19:03:57.202280;Saída;Venda;6445.24;Outros recebimentos
3659;2023-06-02 19:03:57.202280;Saída;Outros;33027.91;Outros recebimentos
2589;2023-05-08 19:03:57.202280;Entrada;Outros;20557.68;Outros recebimentos
3956;2024-06-23 19:03:57.202280;Saída;Salário;11253.93;Outros recebimentos
3681;2023-05-05 19:03:57.202280;Saída;Salário;31934.0;Reembolso de serviço
1084;2024-02-14 19:03:57.202280;Saída;Outros;40833.16;Recebimento de cliente X
3251;2024-09-23 19:03:57.202280;Saída;Venda;28823.95;Recebimento de cliente X
1324;2024-05-04 19:03:57.202280;Saída;Serviço;38152.41;Outros recebimentos
1774;2024-06-29 19:03:57.202280;Entrada;Salário;40317.29;Despesa de operação
4012;2023-06-23 19:03:57.202280;Entrada;Outros;27793.46;Pagamento de imposto
2071;2024-08-08 19:03:57.202280;Entrada;Outros;1673.4;Despesa de operação
1639;2024-02-16 19:03:57.202280;Saída;Venda;10283.38;Recebimento de cliente X
3036;2023-06-28 19:03:57.202280;Saída;Venda;29799.44;Reembolso de serviço
2155;2024-01-25 19:03:57.202280;Saída;Imposto;19771.79;Outros recebimentos
1972;2023-09-19 19:03:57.202280;Saída;Imposto;9774.25;Despesa de operação
3916;2024-09-26 19:03:57.202280;Entrada;Salário;11613.41;Recebimento de cliente X
2204;2024-05-03 19:03:57.202280;Entrada;Salário;25947.65;Reembolso de serviço
3024;2023-08-28 19:03:57.202280;Entrada;Serviço;11177.65;Pagamento por venda
4918;2023-09-19 19:03:57.202280;Saída;Venda;27269.47;Salário
2167;2023-08-18 19:03:57.202280;Entrada;Outros;39824.41;Pagamento por venda
2684;2023-04-30 19:03:57.202280;Saída;Salário;16066.48;Reembolso de serviço
4299;2024-05-21 19:03:57.202280;Entrada;Serviço;28442.15;Outros recebimentos
4002;2023-06-01 19:03:57.202280;Entrada;Imposto;5777.15;Pagamento de imposto
3839;2024-03-18 19:03:57.202280;Entrada;Salário;17271.2;Salário
3767;2024-04-18 19:03:57.202280;Entrada;Imposto;13259.38;Pagamento por venda
3957;2022-11-15 19:03:57.202280;Entrada;Salário;7373.7;Salário
1373;2023-02-19 19:03:57.202280;Entrada;Imposto;3387.86;Recebimento de cliente X
2877;2024-09-17 19:03:57.202280;Saída;Imposto;22174.57;Despesa de operação
1560;2023-02-12 19:03:57.202280;Saída;Salário;40039.54;Recebimento de cliente X
2329;2024-09-19 19:03:57.202280;Saída;Venda;22114.63;Outros recebimentos
2605;2023-10-07 19:03:57.202280;Entrada;Serviço;26454.68;Salário
3217;2024-05-18 19:03:57.202280;Entrada;Salário;1428.64;Recebimento de cliente X
2699;2024-06-03 19:03:57.202280;Saída;Serviço;41872.76;Salário
2472;2024-10-27 19:03:57.202280;Saída;Outros;45296.87;Outros recebimentos
4167;2024-04-27 19:03:57.202280;Entrada;Serviço;34470.83;Pagamento de imposto
4269;2024-06-15 19:03:57.202280;Saída;Imposto;22859.64;Recebimento de cliente X
4678;2024-03-04 19:03:57.202280;Saída;Outros;20825.36;Recebimento de cliente X
1256;2024-08-24 19:03:57.202280;Entrada;Outros;41729.02;Despesa de operação
2905;2023-09-05 19:03:57.202280;Entrada;Imposto;18761.04;Pagamento por venda
4762;2024-10-17 19:03:57.202280;Entrada;Venda;29799.95;Despesa de operação
2316;2023-04-11 19:03:57.202280;Saída;Serviço;24933.09;Recebimento de cliente X
2954;2023-11-29 19:03:57.202280;Saída;Outros;25174.94;Outros recebimentos
1816;2023-07-10 19:03:57.202280;Entrada;Venda;40510.54;Pagamento por venda
4933;2024-10-26 19:03:57.202280;Entrada;Venda;37322.09;Pagamento de imposto
3435;2023-01-04 19:03:57.202280;Saída;Venda;7823.81;Pagamento por venda
2634;2023-02-23 19:03:57.202280;Entrada;Salário;18952.27;Reembolso de serviço
4626;2024-01-22 19:03:57.202280;Entrada;Outros;22861.85;Outros recebimentos
1973;2023-06-25 19:03:57.202280;Saída;Serviço;5995.42;Despesa de operação
1368;2024-06-26 19:03:57.202280;Saída;Outros;40896.21;Salário
3023;2024-06-13 19:03:57.202280;Entrada;Salário;4880.21;Pagamento por venda
3965;2023-04-14 19:03:57.202280;Entrada;Venda;37213.48;Salário
1201;2024-05-16 19:03:57.202280;Saída;Outros;5649.7;Recebimento de cliente X
3431;2023-03-21 19:03:57.202280;Entrada;Serviço;30420.7;Despesa de operação
2536;2023-02-17 19:03:57.202280;Saída;Venda;5334.84;Pagamento por venda
2930;2023-02-16 19:03:57.202280;Entrada;Serviço;24743.34;Outros recebimentos
3418;2023-05-01 19:03:57.202280;Entrada;Serviço;41429.51;Pagamento por venda
1555;2024-02-22 19:03:57.202280;Entrada;Outros;6876.34;Salário
1954;2023-08-23 19:03:57.202280;Saída;Venda;9939.43;Outros recebimentos
4455;2024-02-16 19:03:57.202280;Entrada;Serviço;14637.06;Despesa de operação
3071;2023-06-01 19:03:57.202280;Saída;Outros;22370.48;Salário
2723;2023-06-03 19:03:57.202280;Saída;Salário;45295.57;Recebimento de cliente X
1130;2024-02-28 19:03:57.202280;Saída;Serviço;33120.01;Despesa de operação
3425;2023-09-16 19:03:57.202280;Saída;Outros;35944.52;Pagamento por venda
3146;2022-11-25 19:03:57.202280;Saída;Imposto;8220.56;Outros recebimentos
4646;2023-04-18 19:03:57.202280;Entrada;Outros;47482.21;Recebimento de cliente X
1931;2024-10-29 19:03:57.202280;Saída;Salário;41194.27;Recebimento de cliente X
3782;2023-07-10 19:03:57.202280;Entrada;Salário;28526.57;Despesa de operação
3171;2023-01-19 19:03:57.202280;Entrada;Venda;359.01;Outros recebimentos
2987;2024-01-09 19:03:57.202280;Saída;Venda;39551.95;Outros recebimentos
3642;2023-07-10 19:03:57.202280;Saída;Salário;34092.01;Pagamento de imposto
2966;2024-07-23 19:03:57.202280;Saída;Salário;2474.85;Pagamento de imposto
3787;2023-04-04 19:03:57.202280;Entrada;Venda;27814.45;Pagamento por venda
4220;2024-08-31 19:03:57.202280;Entrada;Salário;19888.54;Pagamento de imposto
1209;2023-07-27 19:03:57.202280;Entrada;Outros;30839.83;Outros recebimentos
3610;2023-09-23 19:03:57.202280;Entrada;Imposto;3392.09;Despesa de operação
2435;2024-09-13 19:03:57.202280;Saída;Serviço;30507.11;Outros recebimentos
3830;2024-07-14 19:03:57.202280;Saída;Salário;44467.75;Salário
4113;2024-08-30 19:03:57.202280;Saída;Outros;24323.2;Recebimento de cliente X
4130;2023-01-01 19:03:57.202280;Entrada;Salário;16945.27;Salário
3753;2024-05-23 19:03:57.202280;Entrada;Serviço;34294.19;Reembolso de serviço
4108;2024-06-06 19:03:57.202280;Saída;Outros;46761.18;Reembolso de serviço
3826;2024-10-05 19:03:57.202280;Saída;Salário;35480.92;Pagamento de imposto
1086;2024-09-23 19:03:57.202280;Entrada;Salário;47246.67;Salário
4115;2023-10-03 19:03:57.202280;Saída;Serviço;26883.86;Pagamento por venda
1872;2022-12-02 19:03:57.202280;Saída;Salário;5737.25;Salário
3059;2024-01-18 19:03:57.202280;Entrada;Outros;25264.59;Pagamento de imposto
3818;2023-09-08 19:03:57.202280;Entrada;Venda;17126.32;Despesa de operação
1307;2023-08-01 19:03:57.202280;Entrada;Venda;7125.37;Despesa de operação
2104;2024-02-23 19:03:57.202280;Saída;Imposto;41199.55;Outros recebimentos
3080;2024-06-18 19:03:57.202280;Entrada;Outros;48730.73;Pagamento por venda
2206;2023-03-02 19:03:57.202280;Saída;Venda;27196.37;Pagamento de imposto
2152;2024-11-09 19:03:57.202280;Saída;Salário;18258.74;Pagamento por venda
3854;2024-03-27 19:03:57.202280;Saída;Imposto;5282.02;Salário
1275;2024-01-29 19:03:57.202280;Entrada;Serviço;30038.07;Reembolso de serviço
2198;2024-10-22 19:03:57.202280;Saída;Outros;40938.95;Outros recebimentos
2578;2023-07-29 19:03:57.202280;Saída;Imposto;4251.81;Reembolso de serviço
2395;2023-03-04 19:03:57.202280;Entrada;Outros;2825.5;Pagamento de imposto
2208;2023-06-10 19:03:57.202280;Entrada;Outros;11778.51;Salário
3492;2024-10-24 19:03:57.202280;Entrada;Venda;34948.29;Despesa de operação
3536;2024-09-01 19:03:57.202280;Saída;Salário;43314.16;Pagamento por venda
4661;2024-01-30 19:03:57.202280;Entrada;Serviço;38977.89;Pagamento de imposto
3334;2023-06-23 19:03:57.202280;Entrada;Serviço;24832.42;Pagamento de imposto
2304;2024-08-27 19:03:57.202280;Entrada;Salário;7131.55;Salário
1637;2024-08-06 19:03:57.202280;Saída;Salário;14006.41;Recebimento de cliente X
1770;2024-10-01 19:03:57.202280;Entrada;Salário;26542.77;Despesa de operação
4587;2023-01-03 19:03:57.202280;Entrada;Salário;31822.52;Recebimento de cliente X
1094;2024-10-27 19:03:57.202280;Entrada;Outros;41425.76;Reembolso de serviço
4298;2023-04-30 19:03:57.202280;Saída;Salário;18138.84;Reembolso de serviço
2899;2024-08-17 19:03:57.202280;Saída;Outros;40006.82;Despesa de operação
4341;2024-07-27 19:03:57.202280;Entrada;Salário;4228.14;Salário
2904;2024-06-05 19:03:57.202280;Entrada;Venda;43800.4;Salário
3344;2023-03-26 19:03:57.202280;Entrada;Serviço;23762.27;Outros recebimentos
2352;2023-06-11 19:03:57.202280;Saída;Outros;49685.18;Recebimento de cliente X
4091;2023-08-28 19:03:57.202280;Saída;Outros;15168.47;Despesa de operação
1607;2024-05-02 19:03:57.202280;Entrada;Venda;31920.61;Recebimento de cliente X
4912;2023-09-02 19:03:57.202280;Saída;Outros;35694.08;Reembolso de serviço
2434;2024-06-27 19:03:57.202280;Entrada;Imposto;2284.51;Outros recebimentos
3498;2024-08-29 19:03:57.202280;Saída;Imposto;17943.94;Despesa de operação
2272;2023-11-29 19:03:57.202280;Saída;Salário;23863.14;Reembolso de serviço
1180;2024-10-15 19:03:57.202280;Entrada;Salário;29798.75;Recebimento de cliente X
3371;2023-03-01 19:03:57.202280;Saída;Imposto;20910.68;Recebimento de cliente X
4052;2024-10-12 19:03:57.202280;Saída;Serviço;35340.37;Pagamento de imposto
4901;2024-05-30 19:03:57.202280;Saída;Venda;7171.1;Recebimento de cliente X
4854;2024-08-16 19:03:57.202280;Saída;Outros;23333.54;Pagamento de imposto
4936;2023-01-06 19:03:57.202280;Entrada;Imposto;23908.34;Outros recebimentos
4332;2024-11-09 19:03:57.202280;Entrada;Salário;9092.76;Despesa de operação
1749;2023-12-28 19:03:57.202280;Entrada;Imposto;37892.36;Despesa de operação
3187;2023-11-24 19:03:57.202280;Entrada;Imposto;14978.82;Recebimento de cliente X
2020;2023-11-12 19:03:57.202280;Entrada;Outros;10140.44;Outros recebimentos
3646;2023-06-25 19:03:57.202280;Saída;Outros;35085.41;Recebimento de cliente X
4533;2023-03-26 19:03:57.202280;Entrada;Imposto;15340.06;Pagamento de imposto
3937;2023-05-01 19:03:57.202280;Entrada;Outros;14401.8;Despesa de operação
2645;2023-05-22 19:03:57.202280;Entrada;Serviço;18524.79;Recebimento de cliente X
1843;2023-09-12 19:03:57.202280;Entrada;Serviço;35712.78;Recebimento de cliente X
3744;2024-02-10 19:03:57.202280;Saída;Salário;14203.91;Reembolso de serviço
2552;2024-02-22 19:03:57.202280;Saída;Serviço;26116.45;Salário
4224;2024-04-07 19:03:57.202280;Saída;Outros;20896.96;Despesa de operação
1925;2024-04-02 19:03:57.202280;Entrada;Imposto;18174.6;Reembolso de serviço
3197;2024-09-08 19:03:57.202280;Entrada;Venda;14197.62;Reembolso de serviço
2134;2023-05-01 19:03:57.202280;Saída;Venda;1086.06;Recebimento de cliente X
1025;2023-09-21 19:03:57.202280;Saída;Imposto;43885.88;Despesa de operação
2488;2024-04-15 19:03:57.202280;Entrada;Outros;23440.9;Outros recebimentos
1956;2023-02-08 19:03:57.202280;Saída;Salário;4889.15;Salário
2913;2024-09-27 19:03:57.202280;Saída;Salário;25216.76;Outros recebimentos
3934;2024-02-29 19:03:57.202280;Entrada;Imposto;44559.97;Recebimento de cliente X
2141;2023-10-31 19:03:57.202280;Saída;Serviço;44320.95;Recebimento de cliente X
2469;2022-12-26 19:03:57.202280;Saída;Venda;22181.86;Outros recebimentos
2619;2024-06-10 19:03:57.202280;Entrada;Imposto;48864.06;Recebimento de cliente X
3721;2023-05-30 19:03:57.202280;Saída;Outros;6755.43;Pagamento por venda
2896;2024-10-30 19:03:57.202280;Saída;Serviço;38617.35;Reembolso de serviço
1928;2024-09-05 19:03:57.202280;Entrada;Venda;3319.49;Reembolso de serviço
4300;2023-03-16 19:03:57.202280;Entrada;Serviço;47556.06;Outros recebimentos
2531;2024-08-01 19:03:57.202280;Entrada;Salário;49551.81;Pagamento por venda
3811;2022-11-19 19:03:57.202280;Entrada;Outros;26913.11;Reembolso de serviço
3169;2024-08-05 19:03:57.202280;Entrada;Salário;24209.93;Pagamento de imposto
2350;2023-09-02 19:03:57.202280;Saída;Salário;5663.16;Pagamento por venda
1469;2024-06-29 19:03:57.202280;Saída;Venda;719.51;Salário
3335;2022-11-17 19:03:57.202280;Entrada;Salário;28703.8;Salário
1525;2023-06-27 19:03:57.202280;Entrada;Imposto;25533.46;Recebimento de cliente X
2863;2023-09-09 19:03:57.202280;Saída;Outros;3318.05;Pagamento por venda
2720;2024-09-07 19:03:57.202280;Saída;Imposto;19555.87;Recebimento de cliente X
2176;2023-07-09 19:03:57.202280;Saída;Outros;36368.44;Outros recebimentos
1591;2024-06-24 19:03:57.202280;Saída;Venda;49287.14;Pagamento por venda
3089;2022-11-18 19:03:57.202280;Entrada;Outros;34528.93;Pagamento por venda
3322;2023-12-01 19:03:57.202280;Saída;Salário;30712.67;Recebimento de cliente X
4624;2023-08-22 19:03:57.202280;Entrada;Salário;6357.98;Salário
4510;2023-08-10 19:03:57.202280;Saída;Salário;44658.01;Pagamento por venda
1207;2023-04-17 19:03:57.202280;Entrada;Salário;27142.42;Outros recebimentos
3827;2023-10-30 19:03:57.202280;Saída;Venda;39458.83;Recebimento de cliente X
1166;2023-03-20 19:03:57.202280;Entrada;Outros;23638.65;Pagamento por venda
3159;2024-03-23 19:03:57.202280;Saída;Salário;3838.24;Despesa de operação
4421;2024-09-10 19:03:57.202280;Entrada;Outros;9958.8;Outros recebimentos
2153;2023-05-04 19:03:57.202280;Saída;Salário;5414.91;Pagamento de imposto
3783;2024-07-09 19:03:57.202280;Entrada;Venda;48114.15;Pagamento por venda
2910;2023-11-15 19:03:57.202280;Saída;Serviço;42627.3;Salário
3860;2023-12-05 19:03:57.202280;Entrada;Imposto;25800.73;Despesa de operação
1216;2023-12-21 19:03:57.202280;Saída;Serviço;46989.63;Despesa de operação
4453;2024-07-03 19:03:57.202280;Entrada;Venda;7642.03;Outros recebimentos
1024;2023-12-15 19:03:57.202280;Entrada;Outros;47134.4;Despesa de operação
1067;2023-09-17 19:03:57.202280;Entrada;Salário;44095.26;Pagamento por venda
4026;2023-09-08 19:03:57.202280;Entrada;Outros;46959.2;Reembolso de serviço
2007;2024-07-02 19:03:57.202280;Saída;Salário;43394.29;Outros recebimentos
4843;2024-05-23 19:03:57.202280;Entrada;Salário;1668.46;Salário
3282;2024-02-23 19:03:57.202280;Entrada;Imposto;42141.07;Salário
2740;2022-12-23 19:03:57.202280;Entrada;Outros;16257.14;Despesa de operação
3022;2023-04-10 19:03:57.202280;Saída;Serviço;17965.01;Salário
1291;2022-12-13 19:03:57.202280;Entrada;Outros;45053.34;Salário
2750;2023-11-06 19:03:57.202280;Saída;Serviço;15576.13;Pagamento por venda
2022;2023-06-19 19:03:57.202280;Saída;Venda;3458.58;Recebimento de cliente X
3749;2024-06-04 19:03:57.202280;Saída;Serviço;49149.59;Pagamento de imposto
4781;2023-09-10 19:03:57.202280;Saída;Imposto;45953.8;Reembolso de serviço
3775;2024-09-09 19:03:57.202280;Entrada;Venda;2669.56;Recebimento de cliente X
3603;2024-08-22 19:03:57.202280;Entrada;Imposto;43172.48;Recebimento de cliente X
