Plano_de_contas;ID_Movimento;Data;Tipo_Movimento;Categoria;Valor;Cliente
21;3732;2024-03-18 08:26:23.648956;Saída;Salário; 16.540,57 ;
32;3607;2024-10-14 08:26:23.648956;Saída;Outros; 13.943,23 ;
32;2653;2023-10-17 08:26:23.648956;Saída;Outros; 30.463,20 ;
22;4264;2024-05-10 08:26:23.648956;Saída;Salário; 1.210,33 ;
11;1835;2023-01-31 08:26:23.648956;Entrada;Venda; 31.254,96 ;Cliente 5
12;1763;2023-08-14 08:26:23.648956;Entrada;Imposto; 22.927,56 ;
33;2731;2024-09-18 08:26:23.648956;Saída;Serviço; 31.342,54 ;
11;4431;2023-08-10 08:26:23.648956;Entrada;Venda; 29.366,49 ;Cliente 1
31;2033;2024-09-19 08:26:23.648956;Saída;Venda; 23.003,01 ;
31;4795;2023-03-10 08:26:23.648956;Saída;Venda; 26.644,02 ;
22;1277;2023-08-05 08:26:23.648956;Saída;Imposto; 46.808,95 ;
22;2778;2024-03-28 08:26:23.648956;Saída;Salário; 14.325,72 ;
11;2828;2023-09-15 08:26:23.648956;Entrada;Venda; 22.386,86 ;Cliente 3
32;3647;2023-04-08 08:26:23.648956;Saída;Outros; 22.422,50 ;
22;4142;2024-10-05 08:26:23.648956;Saída;Salário; 33.745,61 ;
31;4544;2024-01-11 08:26:23.648956;Saída;Venda; 33.625,63 ;
21;3648;2023-01-24 08:26:23.648956;Saída;Salário; 2.124,80 ;
11;4468;2024-09-11 08:26:23.648956;Entrada;Venda; 8.504,69 ;Cliente 4
12;3362;2023-01-16 08:26:23.648956;Entrada;Outros; 20.005,83 ;
22;1705;2023-11-20 08:26:23.648956;Saída;Salário; 4.138,75 ;
33;4558;2023-09-19 08:26:23.648956;Saída;Serviço; 10.784,02 ;
32;3599;2023-02-03 08:26:23.648956;Saída;Outros; 36.861,92 ;
21;3135;2023-02-16 08:26:23.648956;Saída;Salário; 12.865,69 ;
22;3222;2024-01-04 08:26:23.648956;Saída;Salário; 27.071,24 ;
11;4672;2024-06-04 08:26:23.648956;Entrada;Venda; 26.039,58 ;Cliente 3
11;3897;2023-04-19 08:26:23.648956;Entrada;Serviço; 16.261,44 ;Cliente 4
22;2701;2023-12-27 08:26:23.648956;Saída;Imposto; 48.023,61 ;
12;1537;2024-09-22 08:26:23.648956;Entrada;Imposto; 4.667,28 ;
12;3893;2023-03-20 08:26:23.648956;Entrada;Outros; 18.708,70 ;
21;3120;2023-12-18 08:26:23.648956;Saída;Salário; 28.477,90 ;
12;3825;2024-03-05 08:26:23.648956;Entrada;Imposto; 8.263,43 ;
31;2940;2022-12-14 08:26:23.648956;Saída;Venda; 47.669,01 ;
21;3163;2022-11-29 08:26:23.648956;Saída;Salário; 13.688,36 ;
11;1976;2024-02-10 08:26:23.648956;Entrada;Venda; 27.002,55 ;Cliente 2
31;1755;2023-08-02 08:26:23.648956;Saída;Venda; 34.575,94 ;
31;4781;2023-11-21 08:26:23.648956;Saída;Venda; 34.250,14 ;
32;3046;2024-08-29 08:26:23.648956;Saída;Outros; 6.895,90 ;
32;2871;2024-08-12 08:26:23.648956;Saída;Outros; 37.205,96 ;
12;4503;2022-12-12 08:26:23.648956;Entrada;Outros; 10.163,99 ;
12;3496;2023-08-25 08:26:23.648956;Entrada;Outros; 39.319,22 ;
33;3898;2024-03-28 08:26:23.648956;Saída;Serviço; 9.447,78 ;
21;1099;2023-12-26 08:26:23.648956;Saída;Salário; 19.986,41 ;
32;3008;2024-10-25 08:26:23.648956;Saída;Outros; 17.350,07 ;
32;4249;2024-09-02 08:26:23.648956;Saída;Outros; 32.979,81 ;
22;1755;2023-05-16 08:26:23.648956;Saída;Salário; 8.951,96 ;
22;1797;2023-06-04 08:26:23.648956;Saída;Salário; 21.810,73 ;
12;1659;2024-11-06 08:26:23.648956;Entrada;Outros; 49.232,94 ;
